序号,文件路径,类型标签,主题标签,章节结构,内容概要,格式特征
1,5G基础知识\一望5G\网络切片\网络切片_42265154.md,技术概念,网络切片,"1. 网络切片基本概念 2. 网络切片端到端架构 3. 网络切片类型 4. 网络切片选择 5. 网络切片生命周期管理","介绍网络切片的定义、架构、类型(GBR/Non-GBR)、选择机制和生命周期管理流程","包含概念解释、架构图、表格(切片类型对比)、流程图"
2,5G基础知识\一望5G\QoS\QoS_42268275.md,技术概念,QoS,"1. QoS基本概念 2. 5G QoS框架 3. QoS Flow 4. QoS参数 5. QoS实现机制","介绍5G QoS模型、QoS Flow、QoS参数(5QI/ARP/GFBR/MFBR等)及实现机制","包含概念解释、架构图、QoS参数表格、流程说明"
3,快速入门\5G Core解决方案介绍\术语\A\AMBR_41972681.md,术语定义,AMBR,"1. 术语名称 2. 缩略语 3. 定义说明","AMBR(聚合最大比特率)术语定义，包括上行/下行AMBR概念及在QoS中的作用","属性表格式：三栏式(名称/缩略语/定义)"
4,快速入门\5G Core解决方案介绍\术语\P\PCF_41972749.md,术语定义,PCF,"1. 术语名称 2. 缩略语 3. 定义说明","PCF(策略控制功能)术语定义，策略控制核心网元，提供策略规则、计费规则等","属性表格式：三栏式(名称/缩略语/定义)"
5,快速入门\5G Core解决方案介绍\术语\S\SMF_41972775.md,术语定义,SMF,"1. 术语名称 2. 缩略语 3. 定义说明","SMF(会话管理功能)术语定义，负责用户会话建立、管理、UPF选择等","属性表格式：三栏式(名称/缩略语/定义)"
6,OM参考\命令\NAT功能管理\CLI命令参考\命令行介绍_60796091.md,CLI介绍,命令行基础,"1. 命令行概述 2. 命令行视图 3. 命令行使用约定 4. 命令行帮助","CLI命令行基础介绍，包括视图层次结构、命令格式约定、使用帮助方法","命令层级结构视图、命令格式说明、交互示例"
7,OM参考\命令\NAT功能管理\CLI命令参考\命令说明\地址池视图命令\section_60796051.md,命令参考,地址池命令,"1. 命令功能 2. 命令格式 3. 参数说明 4. 视图 5. 使用指南 6. 使用实例","地址池视图命令的详细说明，包括创建地址池、配置地址范围等","六段式结构：功能/格式/参数/视图/指南/实例"
8,OM参考\命令\NAT功能管理\CLI命令参考\命令说明\计费策略视图命令\section_60796053.md,命令参考,计费策略命令,"1. 命令功能 2. 命令格式 3. 参数说明 4. 视图 5. 使用指南 6. 使用实例","计费策略视图命令的详细说明，包括配置计费规则、计费模板等","六段式结构：功能/格式/参数/视图/指南/实例"
9,网络运维\故障处理\Framework告警\ALM-100001 进程故障告警_70996391.md,告警文档,进程故障告警,"1. 告警名称 2. 告警解释 3. 告警属性 4. 告警参数 5. 对系统的影响 6. 可能原因 7. 处理步骤","ALM-100001进程故障告警的详细处理指南，包括告警含义、影响、原因及处理方法","八段式结构：名称/解释/属性/参数/影响/原因/处理步骤/实例"
10,网络运维\故障处理\Framework告警\ALM-100002 CPU过载告警_70996393.md,告警文档,CPU过载告警,"1. 告警名称 2. 告警解释 3. 告警属性 4. 告警参数 5. 对系统的影响 6. 可能原因 7. 处理步骤","ALM-100002 CPU过载告警的详细处理指南，包括负载过高原因及处理方法","八段式结构"
